1,1
2,86027
4,85832
6,146518
8,62750
10,80399
12,97826
14,52826
16,37688
18,66465
20,33777
22,29583
24,41731
26,18928
28,20591
30,33960
32,10100
34,10536
36,16301
38,7196
40,8600
42,11657
44,4492
46,3822
48,6305
50,3449
52,2412
54,4054
56,1862
58,1753
60,3194
62,910
64,980
66,1664
68,625
70,906
72,771
74,392
76,319
78,612
80,279
82,197
84,429
86,122
88,118
90,276
92,76
94,73
96,119
98,52
100,73
102,63
104,35
106,27
108,51
110,26
112,18
114,34
116,14
118,8
120,21
122,6
124,7
126,17
128,4
130,2
132,10
134,3
136,4
138,6
140,4
142,2
144,1
146,1
148,2
150,1
152,1
154,3
